step	datetime	dev_loss	dev_accuracy	best_dev_accuracy
1525	2019-12-27 02:23:35	5216.237658	76.40	76.40
3050	2019-12-27 03:13:17	4539.954959	79.75	79.75
4575	2019-12-27 04:03:34	4312.006580	81.05	81.05
6100	2019-12-27 04:52:46	4384.955512	81.61	81.61
7625	2019-12-27 05:41:41	4366.903460	82.15	82.15
9150	2019-12-27 06:30:41	4601.708551	82.20	82.20
10675	2019-12-27 07:20:13	4464.884732	82.70	82.70
12200	2019-12-27 08:10:22	4502.033267	83.68	83.68
13725	2019-12-27 09:01:13	4552.384253	82.96	83.68
15250	2019-12-27 09:53:04	4542.149567	83.23	83.68
16775	2019-12-27 10:44:50	4942.589665	83.25	83.68
18300	2019-12-27 11:37:08	5079.759192	83.44	83.68
19825	2019-12-27 12:29:49	5220.061021	83.43	83.68
21350	2019-12-27 13:22:09	4864.128659	83.94	83.94
22875	2019-12-27 14:14:29	5230.621345	83.67	83.94
24400	2019-12-27 15:04:55	5365.081558	83.50	83.94
25925	2019-12-27 15:54:49	5305.628129	83.94	83.94
27450	2019-12-27 16:44:17	5017.687975	83.86	83.94
28975	2019-12-27 17:33:45	5120.657145	83.72	83.94
30500	2019-12-27 18:23:03	5435.764057	83.81	83.94
32025	2019-12-27 19:12:53	5272.647795	84.02	84.02
33550	2019-12-27 20:02:12	5398.849732	84.56	84.56
35075	2019-12-27 20:51:08	5415.045257	84.51	84.56
36600	2019-12-27 21:40:09	5253.103554	84.52	84.56
38125	2019-12-27 22:28:56	5491.472295	84.42	84.56
39650	2019-12-27 23:18:22	5551.737846	84.66	84.66
41175	2019-12-28 00:07:32	5704.400639	84.53	84.66
42700	2019-12-28 00:56:07	5788.576538	84.50	84.66
44225	2019-12-28 01:45:08	5724.630247	84.78	84.78
45750	2019-12-28 02:33:52	5933.412228	84.40	84.78
47275	2019-12-28 03:23:04	5840.302848	84.88	84.88
48800	2019-12-28 04:12:22	6175.428170	84.42	84.88
50325	2019-12-28 05:01:47	6044.544632	84.56	84.88
51850	2019-12-28 05:50:58	6184.017056	84.41	84.88
53375	2019-12-28 06:39:58	5901.221960	84.93	84.93
54900	2019-12-28 07:29:18	6035.953137	84.82	84.93
56425	2019-12-28 08:18:28	6151.485714	84.63	84.93
57950	2019-12-28 09:08:13	6163.303131	84.59	84.93
59475	2019-12-28 09:59:50	6344.887854	84.61	84.93
61000	2019-12-28 10:51:02	6149.295509	84.50	84.93
62525	2019-12-28 11:42:17	6227.079341	84.40	84.93
64050	2019-12-28 12:34:13	6288.193576	84.68	84.93
65575	2019-12-28 13:24:55	6521.899274	84.46	84.93
67100	2019-12-28 14:14:21	6497.357338	84.54	84.93
68625	2019-12-28 15:04:59	6380.620299	84.77	84.93
70150	2019-12-28 15:55:03	6805.845804	84.58	84.93
71675	2019-12-28 16:45:56	6625.864377	84.83	84.93
73200	2019-12-28 17:36:10	6559.006567	84.81	84.93
74725	2019-12-28 18:26:27	6804.454710	84.79	84.93
76250	2019-12-28 19:16:43	6810.294545	84.89	84.93
77775	2019-12-28 20:06:56	6827.743622	84.72	84.93
79300	2019-12-28 20:57:00	6718.567381	85.13	85.13
80825	2019-12-28 21:46:43	6734.269011	84.97	85.13
82350	2019-12-28 22:36:32	6878.003398	84.82	85.13
83875	2019-12-28 23:25:53	6860.790993	84.76	85.13
85400	2019-12-29 00:15:26	6566.868436	84.83	85.13
86925	2019-12-29 01:04:55	7133.171427	84.67	85.13
88450	2019-12-29 01:54:20	6642.559304	85.16	85.16
89975	2019-12-29 02:43:37	7094.194377	84.84	85.16
91500	2019-12-29 03:32:51	7106.668689	84.86	85.16
93025	2019-12-29 04:22:15	7106.478682	84.76	85.16
94550	2019-12-29 05:11:49	7027.359403	84.85	85.16
96075	2019-12-29 06:01:00	7161.000192	85.09	85.16
